2024-03-05 08:44:39, User3, edit file, success, Presentation.pptx
2024-02-18 06:40:31, User2, password failure, failed, 
2024-02-07 13:15:26, User4, password failure, failed, 
2024-02-29 11:32:09, User1, password failure, failed, 
2024-02-10 00:01:56, User4, open file, success, Document1.docx
2024-02-23 05:40:33, User1, login, success, 
2024-02-19 21:09:17, User2, open file, success, Document1.docx
2024-02-12 20:35:58, User3, logout, success, 
2024-02-10 19:25:07, User2, login, success, 
2024-02-14 08:40:18, User4, login, success, 
2024-02-26 07:37:04, User4, delete file, success, Presentation.pptx
2024-02-28 16:41:19, User1, password failure, failed, 
2024-03-06 10:46:41, User1, open file, success, Presentation.pptx
2024-02-27 19:52:09, User4, open file, success, Presentation.pptx
2024-02-27 08:04:18, User1, login, success, 
2024-02-21 09:50:04, User2, edit file, success, Document1.docx
2024-02-28 05:50:47, User2, login, success, 
2024-02-07 22:35:42, User2, edit file, success, Document1.docx
2024-02-26 13:08:59, User4, open file, success, Spreadsheet.xlsx
2024-02-20 05:36:37, User2, open file, success, Presentation.pptx
2024-03-01 08:58:42, User2, password failure, failed, 
2024-03-06 01:53:30, User1, password failure, failed, 
2024-02-21 01:46:12, User4, edit file, success, Document1.docx
2024-02-14 05:19:10, User1, logout, success, 
2024-02-29 08:28:01, User2, edit file, success, Report.pdf
2024-02-05 22:52:56, User2, login, success, 
2024-02-11 00:56:20, User1, logout, success, 
2024-02-17 03:38:15, User4, login, success, 
2024-02-19 22:15:55, User1, edit file, success, Document1.docx
2024-02-27 02:56:50, User1, open file, success, Spreadsheet.xlsx
2024-02-08 07:36:31, User1, open file, success, Presentation.pptx
2024-03-03 22:18:33, User2, logout, success, 
2024-02-29 16:40:38, User3, open file, success, Report.pdf
2024-02-13 15:44:35, User4, open file, success, Presentation.pptx
2024-02-08 13:17:19, User2, logout, success, 
2024-02-23 22:41:59, User1, password failure, failed, 
2024-03-02 02:16:12, User2, edit file, success, Presentation.pptx
2024-02-08 13:41:26, User4, open file, success, Spreadsheet.xlsx
2024-02-14 10:20:58, User1, open file, success, Spreadsheet.xlsx
2024-03-02 03:51:53, User4, edit file, success, Presentation.pptx
2024-02-29 16:36:05, User4, open file, success, Presentation.pptx
2024-03-05 13:59:37, User3, login, success, 
2024-02-16 12:50:21, User2, password failure, failed, 
2024-02-07 22:44:09, User1, edit file, success, Presentation.pptx
2024-03-03 00:00:31, User2, login, success, 
2024-02-08 21:30:30, User1, password failure, failed, 
2024-02-23 08:59:09, User2, logout, success, 
2024-02-15 03:37:17, User2, open file, success, Spreadsheet.xlsx
2024-02-29 05:15:46, User3, logout, success, 
2024-02-26 20:02:08, User3, open file, success, Spreadsheet.xlsx
2024-02-27 10:11:06, User1, open file, success, Report.pdf
2024-02-08 13:49:24, User4, logout, success, 
2024-02-26 07:33:15, User4, edit file, success, Presentation.pptx
2024-02-16 18:09:34, User4, password failure, failed, 
2024-02-22 19:53:58, User1, password failure, failed, 
2024-02-25 14:33:04, User1, login, success, 
2024-02-23 18:55:26, User3, delete file, success, Report.pdf
2024-03-05 15:02:33, User4, login, success, 
2024-03-05 05:13:39, User4, logout, success, 
2024-02-19 13:50:38, User1, delete file, success, Spreadsheet.xlsx
2024-02-15 10:54:55, User4, password failure, failed, 
2024-02-23 13:16:16, User2, login, success, 
2024-03-06 05:47:01, User1, password failure, failed, 
2024-02-19 03:35:18, User2, logout, success, 
2024-02-25 03:31:05, User2, password failure, failed, 
2024-02-21 21:27:15, User3, edit file, success, Presentation.pptx
2024-02-12 18:14:28, User4, logout, success, 
2024-02-20 02:53:50, User1, login, success, 
2024-03-02 10:27:23, User1, delete file, success, Document1.docx
2024-02-20 21:23:22, User1, delete file, success, Report.pdf
2024-02-27 13:42:25, User1, logout, success, 
2024-02-20 06:20:01, User2, login, success, 
2024-03-04 02:43:50, User1, open file, success, Document1.docx
2024-02-10 21:19:19, User1, logout, success, 
2024-02-27 00:24:23, User2, open file, success, Report.pdf
2024-02-25 08:48:41, User1, login, success, 
2024-02-10 00:22:49, User1, password failure, failed, 
2024-02-09 00:53:03, User2, logout, success, 
2024-03-01 12:03:40, User3, delete file, success, Presentation.pptx
2024-02-25 11:26:19, User4, delete file, success, Report.pdf
2024-02-11 05:32:23, User2, edit file, success, Spreadsheet.xlsx
2024-02-19 10:08:08, User2, password failure, failed, 
2024-02-08 13:14:11, User1, password failure, failed, 
2024-02-10 01:49:33, User4, password failure, failed, 
2024-02-24 13:06:58, User2, logout, success, 
2024-02-25 19:33:19, User3, open file, success, Report.pdf
2024-02-17 15:35:31, User4, logout, success, 
2024-03-02 07:53:08, User4, edit file, success, Spreadsheet.xlsx
2024-02-20 02:30:25, User2, edit file, success, Presentation.pptx
2024-03-06 13:12:11, User3, delete file, success, Presentation.pptx
2024-03-02 22:41:08, User3, password failure, failed, 
2024-02-17 16:29:02, User4, open file, success, Document1.docx
2024-03-06 01:15:35, User4, logout, success, 
2024-02-14 01:11:17, User1, open file, success, Report.pdf
2024-02-15 21:38:17, User1, password failure, failed, 
2024-03-04 20:08:21, User2, open file, success, Report.pdf
2024-02-21 19:50:40, User2, delete file, success, Spreadsheet.xlsx
2024-02-09 03:28:14, User2, open file, success, Spreadsheet.xlsx
2024-02-18 21:52:54, User4, open file, success, Spreadsheet.xlsx
2024-02-24 04:34:21, User2, open file, success, Report.pdf
2024-02-26 12:14:39, User2, open file, success, Document1.docx
2024-02-15 13:25:47, User3, login, success, 
2024-03-06 11:41:04, User2, delete file, success, Spreadsheet.xlsx
2024-02-06 21:30:30, User2, password failure, failed, 
2024-02-21 08:14:50, User1, logout, success, 
2024-02-16 22:23:55, User3, logout, success, 
2024-03-01 01:54:42, User1, logout, success, 
2024-02-17 21:23:21, User1, edit file, success, Presentation.pptx
2024-02-10 11:00:43, User2, login, success, 
2024-02-14 20:50:58, User2, open file, success, Spreadsheet.xlsx
2024-03-05 16:37:18, User4, delete file, success, Spreadsheet.xlsx
2024-02-27 17:47:45, User2, edit file, success, Report.pdf
2024-02-08 22:41:56, User3, login, success, 
2024-02-12 00:19:41, User3, password failure, failed, 
2024-03-03 06:00:09, User3, edit file, success, Document1.docx
2024-02-10 00:59:10, User3, logout, success, 
2024-02-14 23:50:50, User3, edit file, success, Document1.docx
2024-03-05 23:21:24, User4, password failure, failed, 
2024-02-06 14:22:58, User4, delete file, success, Document1.docx
